,trade_date,label_ko,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,comment,class4
59,2023-05-15,총포괄손익,,20210101-20210331,354840497300.0,20220516001936,분기보고서 (2022.03),20220516,2022-05-16,006400,126362,삼성SDI,,
60,2023-05-15,당기순이익(손실),,20230101-20230331,40218302952.0,20230515002518,분기보고서 (2023.03),20230515,2023-05-15,003670,155276,포스코퓨처엠,,
61,2023-05-15,총포괄손익,,20230101-20230331,54716637235.0,20230515002518,분기보고서 (2023.03),20230515,2023-05-15,003670,155276,포스코퓨처엠,,
62,2023-05-15,당기순이익(손실),,20220101-20220331,35995680188.0,20230515002518,분기보고서 (2023.03),20230515,2023-05-15,003670,155276,포스코퓨처엠,,
63,2023-05-15,총포괄손익,,20220101-20220331,42157836721.0,20230515002518,분기보고서 (2023.03),20230515,2023-05-15,003670,155276,포스코퓨처엠,,
64,2023-05-15,당기순이익(손실),,20220701-20220930,65629793719.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
65,2023-05-15,총포괄손익,,20220701-20220930,88471188254.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
66,2023-05-15,당기순이익(손실),,20220101-20220930,148054861746.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
67,2023-05-15,총포괄손익,,20220101-20220930,187550288011.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
68,2023-05-15,당기순이익(손실),,20210701-20210930,40879844801.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
69,2023-05-15,총포괄손익,,20210701-20210930,45438194101.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
70,2023-05-15,당기순이익(손실),,20210101-20210930,114549164695.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
71,2023-05-15,총포괄손익,,20210101-20210930,120780447865.0,20221117000030,[기재정정]분기보고서 (2022.09),20221117,2022-11-17,003670,155276,포스코퓨처엠,,
72,2023-05-15,당기순이익(손실),,20220701-20220930,65629793719.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
73,2023-05-15,총포괄손익,,20220701-20220930,88471188254.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
74,2023-05-15,당기순이익(손실),,20220101-20220930,148054861746.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
75,2023-05-15,총포괄손익,,20220101-20220930,187550288011.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
76,2023-05-15,당기순이익(손실),,20210701-20210930,40879844801.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
77,2023-05-15,총포괄손익,,20210701-20210930,45438194101.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
78,2023-05-15,당기순이익(손실),,20210101-20210930,114549164695.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
79,2023-05-15,총포괄손익,,20210101-20210930,120780447865.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
80,2023-05-15,당기순이익(손실),,20220101-20220331,35995680188.0,20220516001003,분기보고서 (2022.03),20220516,2022-05-16,003670,155276,포스코퓨처엠,,
81,2023-05-15,총포괄손익,,20220101-20220331,42157836721.0,20220516001003,분기보고서 (2022.03),20220516,2022-05-16,003670,155276,포스코퓨처엠,,
82,2023-05-15,당기순이익(손실),,20210101-20210331,39774944707.0,20220516001003,분기보고서 (2022.03),20220516,2022-05-16,003670,155276,포스코퓨처엠,,
83,2023-05-15,총포괄손익,,20210101-20210331,43033383604.0,20220516001003,분기보고서 (2022.03),20220516,2022-05-16,003670,155276,포스코퓨처엠,,
84,2023-11-14,총포괄손익,,20230701-20230930,368926572684.0,20231114001166,분기보고서 (2023.09),20231114,2023-11-14,035420,266961,NAVER,,
85,2023-11-14,총포괄손익,,20230101-20230930,247566591226.0,20231114001166,분기보고서 (2023.09),20231114,2023-11-14,035420,266961,NAVER,,
86,2023-11-14,총포괄손익,,20220701-20220930,1259468844104.0,20231114001166,분기보고서 (2023.09),20231114,2023-11-14,035420,266961,NAVER,,
87,2023-11-14,총포괄손익,,20220101-20220930,72485010959.0,20231114001166,분기보고서 (2023.09),20231114,2023-11-14,035420,266961,NAVER,,
88,2023-11-14,총포괄손익,,20220701-20220930,1259468844104.0,20221114002234,분기보고서 (2022.09),20221114,2022-11-14,035420,266961,NAVER,,
89,2023-11-14,총포괄손익,,20220101-20220930,72485010959.0,20221114002234,분기보고서 (2022.09),20221114,2022-11-14,035420,266961,NAVER,,
90,2023-11-14,총포괄손익,,20210701-20210930,768475167354.0,20221114002234,분기보고서 (2022.09),20221114,2022-11-14,035420,266961,NAVER,,
91,2023-11-14,총포괄손익,,20210101-20210930,16527977489572.0,20221114002234,분기보고서 (2022.09),20221114,2022-11-14,035420,266961,NAVER,,
92,2023-12-26,당기순이익(손실),,20230701-20230930,49492746094.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
93,2023-12-26,총포괄손익,,20230701-20230930,-5097312081.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
94,2023-12-26,당기순이익(손실),,20230101-20230930,169346879514.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
95,2023-12-26,총포괄손익,,20230101-20230930,30970299361.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
96,2023-12-26,당기순이익(손실),,20220701-20220930,137161081437.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
97,2023-12-26,총포괄손익,,20220701-20220930,246066593204.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
98,2023-12-26,당기순이익(손실),,20220101-20220930,1560497474410.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
99,2023-12-26,총포괄손익,,20220101-20220930,1426791517338.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
100,2023-11-14,당기순이익(손실),,20230701-20230930,49492746094.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
101,2023-11-14,총포괄손익,,20230701-20230930,-5097312081.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
102,2023-11-14,당기순이익(손실),,20230101-20230930,169346879514.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
103,2023-11-14,총포괄손익,,20230101-20230930,30970299361.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
104,2023-11-14,당기순이익(손실),,20220701-20220930,137161081437.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
105,2023-11-14,총포괄손익,,20220701-20220930,246066593204.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
106,2023-11-14,당기순이익(손실),,20220101-20220930,1560497474410.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
107,2023-11-14,총포괄손익,,20220101-20220930,1426791517338.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
108,2023-11-14,당기순이익(손실),,20230701-20230930,49492746094.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
109,2023-11-14,총포괄손익,,20230701-20230930,-5097312081.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
