,trade_date,Unnamed: 0,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
49,2023-01-30,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
50,2023-01-31,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
51,2023-02-01,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
52,2023-02-02,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
53,2023-02-03,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
54,2023-02-04,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
55,2023-02-05,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
56,2023-02-06,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
57,2023-02-07,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
58,2023-02-08,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
59,2023-02-09,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
60,2023-02-10,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
61,2023-02-11,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
62,2023-02-12,7661.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,76137060888.0,20230120000272.0,[기재정정]분기보고서 (2022.09),20230120.0,2023-01-20,6570.0,109824.0,대림통상
63,2023-02-13,18571.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20221231,15227140075.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
64,2023-02-13,18572.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20221231,312937873685.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
65,2023-02-13,18573.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20221231,328165013760.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
66,2023-02-13,18574.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20221231,7535028568.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
67,2023-02-13,18575.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20221231,180912864552.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
68,2023-02-13,18576.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20221231,188447893120.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
69,2023-02-13,18577.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20221231,139717120640.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
70,2023-02-13,18578.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20220930,18037635812.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
71,2023-02-13,18579.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20220930,354042042849.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
72,2023-02-13,18580.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20220930,372079678661.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
73,2023-02-13,18581.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20220930,6778225058.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
74,2023-02-13,18582.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20220930,213358890692.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
75,2023-02-13,18583.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20220930,220137115750.0,20230213000856.0,반기보고서 (2022.12),20230213.0,2023-02-13,396690.0,1576102.0,미래에셋글로벌리츠
