,label_ko,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,comment,class4
174,총포괄손익,,20210701-20210930,45438194101.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
175,당기순이익(손실),,20210101-20210930,114549164695.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
176,총포괄손익,,20210101-20210930,120780447865.0,20221114002179,분기보고서 (2022.09),20221114,2022-11-14,003670,155276,포스코퓨처엠,,
185,당기순이익(손실),,20220101-20220331,35995680188.0,20220516001003,분기보고서 (2022.03),20220516,2022-05-16,003670,155276,포스코퓨처엠,,
186,총포괄손익,,20220101-20220331,42157836721.0,20220516001003,분기보고서 (2022.03),20220516,2022-05-16,003670,155276,포스코퓨처엠,,
187,당기순이익(손실),,20210101-20210331,39774944707.0,20220516001003,분기보고서 (2022.03),20220516,2022-05-16,003670,155276,포스코퓨처엠,,
188,총포괄손익,,20210101-20210331,43033383604.0,20220516001003,분기보고서 (2022.03),20220516,2022-05-16,003670,155276,포스코퓨처엠,,
189,총포괄손익,,20230701-20230930,368926572684.0,20231114001166,분기보고서 (2023.09),20231114,2023-11-14,035420,266961,NAVER,,
190,총포괄손익,,20230101-20230930,247566591226.0,20231114001166,분기보고서 (2023.09),20231114,2023-11-14,035420,266961,NAVER,,
191,총포괄손익,,20220701-20220930,1259468844104.0,20231114001166,분기보고서 (2023.09),20231114,2023-11-14,035420,266961,NAVER,,
192,총포괄손익,,20220101-20220930,72485010959.0,20231114001166,분기보고서 (2023.09),20231114,2023-11-14,035420,266961,NAVER,,
200,총포괄손익,,20220701-20220930,1259468844104.0,20221114002234,분기보고서 (2022.09),20221114,2022-11-14,035420,266961,NAVER,,
201,총포괄손익,,20220101-20220930,72485010959.0,20221114002234,분기보고서 (2022.09),20221114,2022-11-14,035420,266961,NAVER,,
202,총포괄손익,,20210701-20210930,768475167354.0,20221114002234,분기보고서 (2022.09),20221114,2022-11-14,035420,266961,NAVER,,
203,총포괄손익,,20210101-20210930,16527977489572.0,20221114002234,분기보고서 (2022.09),20221114,2022-11-14,035420,266961,NAVER,,
208,당기순이익(손실),,20230701-20230930,49492746094.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
209,총포괄손익,,20230701-20230930,-5097312081.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
210,당기순이익(손실),,20230101-20230930,169346879514.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
211,총포괄손익,,20230101-20230930,30970299361.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
212,당기순이익(손실),,20220701-20220930,137161081437.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
213,총포괄손익,,20220701-20220930,246066593204.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
214,당기순이익(손실),,20220101-20220930,1560497474410.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
215,총포괄손익,,20220101-20220930,1426791517338.0,20231226000387,[기재정정]분기보고서 (2023.09),20231226,2023-12-26,035720,258801,카카오,,
216,당기순이익(손실),,20230701-20230930,49492746094.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
217,총포괄손익,,20230701-20230930,-5097312081.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
218,당기순이익(손실),,20230101-20230930,169346879514.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
219,총포괄손익,,20230101-20230930,30970299361.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
220,당기순이익(손실),,20220701-20220930,137161081437.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
221,총포괄손익,,20220701-20220930,246066593204.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
222,당기순이익(손실),,20220101-20220930,1560497474410.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
223,총포괄손익,,20220101-20220930,1426791517338.0,20231114003032,[기재정정]분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
224,당기순이익(손실),,20230701-20230930,49492746094.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
225,총포괄손익,,20230701-20230930,-5097312081.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
226,당기순이익(손실),,20230101-20230930,169346879514.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
227,총포괄손익,,20230101-20230930,30970299361.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
228,당기순이익(손실),,20220701-20220930,137161081437.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
229,총포괄손익,,20220701-20220930,246066593204.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
230,당기순이익(손실),,20220101-20220930,1560497474410.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
231,총포괄손익,,20220101-20220930,1426791517338.0,20231114002666,분기보고서 (2023.09),20231114,2023-11-14,035720,258801,카카오,,
248,당기순이익(손실),,20230101-20230331,63827793863.0,20230629000567,[기재정정]분기보고서 (2023.03),20230629,2023-06-29,035720,258801,카카오,,
249,총포괄손익,,20230101-20230331,143065663625.0,20230629000567,[기재정정]분기보고서 (2023.03),20230629,2023-06-29,035720,258801,카카오,,
250,당기순이익(손실),,20220101-20220331,1322133625257.0,20230629000567,[기재정정]분기보고서 (2023.03),20230629,2023-06-29,035720,258801,카카오,,
251,총포괄손익,,20220101-20220331,1165759468730.0,20230629000567,[기재정정]분기보고서 (2023.03),20230629,2023-06-29,035720,258801,카카오,,
252,당기순이익(손실),,20230101-20230331,63827793863.0,20230515002409,분기보고서 (2023.03),20230515,2023-05-15,035720,258801,카카오,,
253,총포괄손익,,20230101-20230331,143065663625.0,20230515002409,분기보고서 (2023.03),20230515,2023-05-15,035720,258801,카카오,,
254,당기순이익(손실),,20220101-20220331,1322133625257.0,20230515002409,분기보고서 (2023.03),20230515,2023-05-15,035720,258801,카카오,,
255,총포괄손익,,20220101-20220331,1165759468730.0,20230515002409,분기보고서 (2023.03),20230515,2023-05-15,035720,258801,카카오,,
262,당기순이익(손실),,20220701-20220930,137161081437.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
263,총포괄손익,,20220701-20220930,246066593204.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
264,당기순이익(손실),,20220101-20220930,1560497474410.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
265,총포괄손익,,20220101-20220930,1426791517338.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
266,당기순이익(손실),,20210701-20210930,866279098919.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
267,총포괄손익,,20210701-20210930,1022568777182.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
268,당기순이익(손실),,20210101-20210930,1422077003968.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
269,총포괄손익,,20210101-20210930,1928699587070.0,20221114002641,분기보고서 (2022.09),20221114,2022-11-14,035720,258801,카카오,,
278,당기순이익(손실),,20220101-20220331,1322133625257.0,20220516002455,분기보고서 (2022.03),20220516,2022-05-16,035720,258801,카카오,,
279,총포괄손익,,20220101-20220331,1165759468730.0,20220516002455,분기보고서 (2022.03),20220516,2022-05-16,035720,258801,카카오,,
280,당기순이익(손실),,20210101-20210331,239873772887.0,20220516002455,분기보고서 (2022.03),20220516,2022-05-16,035720,258801,카카오,,
281,총포괄손익,,20210101-20210331,300884228005.0,20220516002455,분기보고서 (2022.03),20220516,2022-05-16,035720,258801,카카오,,
282,당기순이익(손실),,20230701-20230930,701184891510.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
283,총포괄손익,,20230701-20230930,143460580233.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
284,당기순이익(손실),,20230101-20230930,2147792254560.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
285,총포괄손익,,20230101-20230930,5411785361011.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
286,당기순이익(손실),,20220701-20220930,596838333540.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
