,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20230630,20220630,20210630,20191231,20200630,20190630,20180630,20170630,20160630,20230331,20220331,20210331,20220930,20181231,20171231,20161231,20151231,20141231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)",20131231,20121231,20111231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
1091,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,1136743952904.0,1131295315219.0,927237547230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,108686518867.0,94571033382.0,114071059969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,57670564000.0,57547057000.0,54597795000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,ifrs-full_SharePremium,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,주식발행초과금,56835217281.0,56780754690.0,53657061073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,dart_ElementsOfOtherStockholdersEquity,기타자본,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본,71610435228.0,5190109402.0,13818412393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금,-77429697642.0,-24946887710.0,-8002208497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,129776293548.0,95129977918.0,125218073041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,238462812415.0,189701011300.0,239289133010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,1375206765319.0,1320996326519.0,1166526680240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,68374203571.0,67404348077.0,69866065089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,2192088451.0,3111168289.0,5851379321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,27416480000.0,26838780000.0,32070880000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,29838041667.0,28566018222.0,24339592344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,28970533076.0,28411473606.0,24137607319.0,매출채권,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,dart_AllowanceForDoubtfulAcccountShortTermTradeReceivable,(대손충당금),"Allowance for doubtful acccount, short-term trade Receivable",재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,45722917.0,69888039.0,248171072.0,(대손충당금),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,dart_ShortTermOtherReceivables,미수금,Short-term other Receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,11850605.0,9551983.0,52219535.0,미수금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,dart_ShortTermAccruedIncome,미수수익,Short-term accrued Income,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,901380903.0,214880672.0,397936562.0,미수수익,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,entity00142865_udf_BS_202081117317781_CurrentAssets,환불자산,refund assets,재무상태표 [abstract],자산 [abstract],유동자산,환불자산,472762316.0,435012013.0,371408502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,573164.0,997098.0,117460293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,7685910563.0,6497044994.0,5252476825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,dart_FinishedGoodsGross,제품,"Finished goods, gross",재무상태표 [abstract],자산 [abstract],유동자산,재고자산,5346503509.0,4650663802.0,3836984918.0,제품,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,dart_AccumulatedImpairmentLossFinishedGoodsGross,(평가손실충당금),"Accumulated Impairment loss, finished goods",재무상태표 [abstract],자산 [abstract],유동자산,재고자산,528094397.0,534265278.0,645180995.0,(평가손실충당금),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,dart_RawMaterialsGross,원재료,Raw materials,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,2730170437.0,2274727948.0,2045291541.0,원재료,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,dart_AccumulatedImpairmentLossRawMaterialsGross,(평가손실충당금),"Accumulated Impairment loss, raw materials",재무상태표 [abstract],자산 [abstract],유동자산,재고자산,200810785.0,221942982.0,242628182.0,(평가손실충당금),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,dart_SuppliesGross,저장품,"Supplies, gross",재무상태표 [abstract],자산 [abstract],유동자산,재고자산,95943575.0,72106772.0,77928173.0,저장품,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,dart_GoodsInTransitGross,미착품,"Goods in transit, gross",재무상태표 [abstract],자산 [abstract],유동자산,재고자산,242198224.0,255754732.0,180081370.0,미착품,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,768347410.0,1955327461.0,1862867804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,entity00142865_udf_BS_2021812172016876_OtherCurrentAssets,선급금,advance payments,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,297445845.0,1111449133.0,164325031.0,선급금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,entity00142865_udf_BS_202181217200850_OtherCurrentAssets,선급비용,prepaid expenses,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,376452480.0,379805926.0,265816819.0,선급비용,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,entity00142865_udf_BS_2021812172019289_OtherCurrentAssets,선급부가가치세,Prepaid value added tax,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,94449085.0,464072402.0,1432725954.0,선급부가가치세,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,60129062852.0,67879505597.0,60800449614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,0.0,583440615.0,157272267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,장기당기손익-공정가치측정금융자산,"Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],비유동자산,장기당기손익-공정가치측정금융자산,5763654877.0,6201874177.0,2045500887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,ifrs-full_InvestmentsInAssociates,관계기업투자주식,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업투자주식,1622402863.0,1611354648.0,1582827533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권 및 기타채권,111096000.0,110446000.0,190345980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,dart_LongTermLeaseholdDeposits,장기보증금,Long-term leasehold deposits,재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권 및 기타채권,111096000.0,110446000.0,190345980.0,장기보증금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,212823695.0,244858358.0,553659216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,entity00142865_udf_BS_2021812182837536_InvestmentProperty,토지,Land,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,98187846.0,111187846.0,256190830.0,토지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,entity00142865_udf_BS_2021812182852367_InvestmentProperty,건물,Buildings,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,217912664.0,246912664.0,554451034.0,건물,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,entity00142865_udf_BS_2021812182917_InvestmentProperty,(감가상각누계액),"Accumulated depreciation, buildings",재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,-103276815.0,-113242152.0,-256982648.0,(감가상각누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,49559169164.0,56682021491.0,54573816407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,dart_LandGross,토지,"Land, gross",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,10283073973.0,10270073973.0,10543679031.0,토지,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,dart_BuildingsGross,건물,"Buildings, gross",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,25657499440.0,24725619879.0,23808252111.0,건물,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,dart_AccumulatedDepreciationBuildingsGross,(감가상각누계액),"Accumulated depreciation, buildings",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,11041392744.0,10454031344.0,9835005074.0,(감가상각누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,dart_AccumulatedImpairmentLossBuildingsGross,(손상차손누계액),"Accumulated Impairment loss, buildings",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,2947752804.0,0.0,0.0,(손상차손누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,dart_StructureGross,구축물,"Structure, gross",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,12600380340.0,12315490695.0,11214499053.0,구축물,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,dart_AccumulatedDepreciationStructureGross,(감가상각누계액),"Accumulated depreciation, structure",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,7028524553.0,6629686307.0,6235804833.0,(감가상각누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,dart_AccumulatedImpairmentLossStructureGross,(손상차손누계액),"Accumulated Impairment loss, structure",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,659841396.0,0.0,0.0,(손상차손누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,dart_MachineryGross,기계장치,Machinery,재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,60140987374.0,59821792402.0,59066881604.0,기계장치,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,dart_AccumulatedDepreciationMachineryGross,(감가상각누계액),"Accumulated depreciation, machinery",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,37339073910.0,36974744775.0,37255937836.0,(감가상각누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,dart_AccumulatedImpairmentLossMachineryGross,(손상차손누계액),"Accumulated Impairment loss, machinery",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,3174728982.0,0.0,0.0,(손상차손누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,dart_VehiclesGross,차량운반구,"Vehicles, gross",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,1330856896.0,1385661918.0,1253606884.0,차량운반구,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,dart_AccumulatedDepreciationVehiclesGross,(감가상각누계액),"Accumulated depreciation, vehicles",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,944959616.0,968454402.0,924813938.0,(감가상각누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,dart_OfficeEquipmentGross,기구비품,"Office equipment, gross",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,6840129906.0,6667874325.0,6459289340.0,기구비품,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,dart_AccumulatedDepreciationOfficeEquipmentGross,(감가상각누계액),"Accumulated depreciation, office equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,5763054609.0,5612394855.0,5387263202.0,(감가상각누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,dart_AccumulatedImpairmentLossOfficeEquipmentGross,(손상차손누계액),"Accumulated Impairment loss, office equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,207526899.0,0.0,0.0,(손상차손누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,dart_ToolsAndEquipmentGross,공구,Tools and equipment,재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,531991185.0,531043377.0,521586270.0,공구,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,dart_AccumulatedDepreciationToolsAndEquipmentGross,(감가상각누계액),"Accumulated depreciation, tools and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,503108686.0,500868102.0,492696307.0,(감가상각누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,dart_AccumulatedImpairmentLossToolsAndEquipmentGross,(손상차손누계액),Accumulated impairment loss. tools and equipment,재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,2135186.0,0.0,0.0,(손상차손누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,2088672480.0,2093637625.0,1861598101.0,사용권자산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,dart_AccumulatedDepreciationRentalAssetGross,(감가상각누계액),"Accumulated depreciation, rental asset",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,456073045.0,412614077.0,328751570.0,(감가상각누계액),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,dart_ConstructionInProgressGross,건설중인자산,"Construction in progress, gross",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,153750000.0,423621159.0,304696773.0,건설중인자산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,1017415357.0,996856027.0,1019967479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,entity00142865_udf_BS_2021812164225586_IntangibleAssetsOtherThanGoodwill,회원권,membership,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,932900438.0,932900438.0,932900438.0,회원권,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,dart_OtherIntangibleAssetsGross,기타무형자산,"Other intangible assets, gross",재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,84514919.0,63955589.0,87067041.0,기타무형자산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,dart_DepositsForSeveranceInsurance,순확정급여자산,Deposits for severance insurance,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,1754954713.0,1319050101.0,586079474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,87546183.0,129604180.0,90980371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,entity00142865_udf_BS_2021812172130463_OtherNonCurrentAssets,장기선급비용,Long-term prepaid expenses,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,87546183.0,129604180.0,90980371.0,장기선급비용,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,128503266423.0,135283853674.0,130666514703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,14870292725.0,13563309753.0,11490261264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타채무,9950190436.0,10846958380.0,10059753632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타채무,5787425400.0,6306222310.0,5167113887.0,매입채무,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,dart_ShortTermOtherPayables,미지급금,Short-term other Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타채무,1155574966.0,1522115768.0,1639763500.0,미지급금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,dart_ShortTermAccruedExpenses,미지급비용,Short-term accrued Expenses,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타채무,3007190070.0,3018620302.0,3252876245.0,미지급비용,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,3075000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,entity00142865_udf_BS_202081118626273_CurrentLiabilities,환불부채,refund liability,재무상태표 [abstract],부채 [abstract],유동부채,환불부채,506127149.0,455035553.0,383107305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,214404818.0,1172224458.0,16337093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,1124570322.0,1089091362.0,1031063234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,entity00142865_udf_BS_2021812172149706_OtherCurrentLiabilities,선수금,advances customers,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,196644403.0,100266750.0,95002831.0,선수금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,entity00142865_udf_BS_202181217221362_OtherCurrentLiabilities,예수금,withholdings,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,293179313.0,298959770.0,318409634.0,예수금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,entity00142865_udf_BS_2021812172235809_OtherCurrentLiabilities,부가가치세예수금,Current value added tax payables,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,634746606.0,689864842.0,617650769.0,부가가치세예수금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,1056584280.0,1577598673.0,2447882060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타채무,526922482.0,775754063.0,1640946603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,dart_LongTermOtherPayablesGross,장기미지급금,"Long-Term other Payables, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타채무,142609806.0,107279240.0,148590432.0,장기미지급금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,dart_LongTermAccruedExpensesGross,장기미지급비용,"Long-Term accrued Expenses, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타채무,92312676.0,212974823.0,242356171.0,장기미지급비용,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,dart_LongTermGuaranteeDepositRentGross,장기임대보증금,"Long-term guarantee deposit rent, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타채무,292000000.0,455500000.0,1250000000.0,장기임대보증금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,dart_PresentValueOfDefinedBenefitObligation,확정급여채무,Present value of defined benefit obligation,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,5481098369.0,6024214888.0,6832856725.0,확정급여채무,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,dart_FairValueOfPlanAssets,사외적립자산,Fair value of plan assets,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,5481098369.0,6024214888.0,6832856725.0,사외적립자산,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,529661798.0,801844610.0,806935457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,15926877005.0,15140908426.0,13938143324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,,112576389418.0,120142945248.0,116728371379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본금,7663219000.0,7663219000.0,7663219000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,dart_IssuedCapitalOfCommonStock,보통주자본금,Issued capital of common stock,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본금,7663219000.0,7663219000.0,7663219000.0,보통주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,ifrs-full_SharePremium,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,주식발행초과금,10322757146.0,10322757146.0,10322757146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,dart_ElementsOfOtherStockholdersEquity,기타자본항목,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,기타자본항목,13589343669.0,13705192978.0,11454868386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,entity00142865_udf_BS_202181217263671_ElementsOfOtherStockholdersEquity,지분법자본변동,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to profit or loss, net of tax",재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,기타자본항목,42061022.0,19308753.0,4375511.0,지분법자본변동,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,entity00142865_udf_BS_202181217313259_ElementsOfOtherStockholdersEquity,해외사업장환산손익,Gains cumulative effect foreign currency translation,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,기타자본항목,2749142233.0,2887743811.0,652352461.0,해외사업장환산손익,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,entity00142865_udf_BS_202181217322999_ElementsOfOtherStockholdersEquity,자기주식처분이익,Gains sale treasury stock,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,기타자본항목,1033488195.0,1033488195.0,1033488195.0,자기주식처분이익,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,entity00142865_udf_BS_202181217323710_ElementsOfOtherStockholdersEquity,재평가적립금,Other comprehensive income gains losses on revaluation,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,기타자본항목,9693550063.0,9693550063.0,9693550063.0,재평가적립금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,entity00142865_udf_BS_2021812173415761_ElementsOfOtherStockholdersEquity,기타자본잉여금,Other capital surplus,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,기타자본항목,71102156.0,71102156.0,71102156.0,기타자본잉여금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,이익잉여금,81001069603.0,88451776124.0,87287526847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,dart_LegalReserve,법정적립금,Legal Reserve,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,이익잉여금,4252983195.0,4252983195.0,4253138150.0,법정적립금,,,,,,,,,,,,,,,,,,,,,,,,,,,,
