,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
49,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20221231,208120718755.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
50,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20221231,120045348198.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
51,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20221231,328166066953.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
52,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20221231,45979873534.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
53,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20221231,19038869526.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
54,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20221231,65018743060.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
55,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20221231,263147323893.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
56,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20211231,190326178890.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
57,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20211231,138841180912.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
58,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20211231,329167359802.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
59,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20211231,46433517001.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
60,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20211231,19671354318.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
61,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20211231,66104871319.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
62,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20211231,263062488483.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
63,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20201231,175142389567.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
64,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20201231,133205818257.0,20230322001299,사업보고서 (2022.12),20230322,20230322,025530,00181943,에스제이엠홀딩스
