,종가,시가총액,거래량,거래대금,상장주식수,티커,trade_date
768,46700,66744574000,53,2474250,1429220,000650,20240115
767,336500,67300000000,1351,451508000,200000,003925,20240115
766,68300,68300000000,1196,81354800,1000000,008870,20240115
765,31100,68420000000,1974,61194750,2200000,000850,20240115
764,6470,68654561050,111079,727194330,10611215,446070,20240115
763,32050,69047846950,1285,41200150,2154379,004450,20240115
762,4330,69280000000,10997,47813320,16000000,155660,20240115
761,861,69366593289,117107,100895730,80565149,025750,20240115
760,8550,69479984700,7529,64341790,8126314,006660,20240115
759,5500,69920108500,123358,681494080,12712747,003010,20240115
758,1400,70092110200,234603,329008164,50065793,004920,20240115
757,6410,70206390350,2907,18660770,10952635,008250,20240115
756,59500,70265930000,1180,70348200,1180940,000105,20240115
755,269,70637282701,0,0,262592129,102280,20240115
754,5890,70680000000,1055002,6445404730,12000000,014130,20240115
753,189,70828800651,1089386,206285246,374755559,004410,20240115
752,5520,71742010320,27029,149566830,12996741,100220,20240115
751,1308,71812154772,104418,136416495,54902259,090080,20240115
750,6880,72174275360,5040,34560130,10490447,008110,20240115
749,611,72454216055,198080,120763660,118583005,002630,20240115
748,3645,72900000000,65787,239505465,20000000,014440,20240115
747,2820,73171950000,13531,37834395,25947500,002920,20240115
746,4360,73695772000,3366133,14938119550,16902700,011230,20240115
745,1647,74365805160,32327,53123854,45152280,013700,20240115
744,64900,74925881800,1027,66310800,1154482,000590,20240115
743,2820,74955600000,39152,110666175,26580000,357430,20240115
742,132400,74956274000,466,61679300,566135,03473K,20240115
741,4020,75013200000,13216,52981080,18660000,338100,20240115
740,3960,75214747080,26077,102753320,18993623,378850,20240115
739,14500,75287465500,31114,450548700,5192239,001550,20240115
738,2550,75857078700,4929703,13714093470,29747874,129260,20240115
737,7790,75952375360,14117,109495140,9749984,111110,20240115
736,7750,76202433000,11038,85867930,9832572,001260,20240115
735,2265,76904573310,55526,127919060,33953454,017180,20240115
734,2535,77139466950,201902,515383140,30429770,025560,20240115
733,3600,77297220000,23207,83266285,21471450,041650,20240115
732,4045,77664000000,3385,13656155,19200000,075180,20240115
731,6070,77696000000,29396,179070240,12800000,004910,20240115
730,1224,77737743072,216110,263015807,63511228,027740,20240115
729,616,78078115192,208731,129825604,126750187,009810,20240115
728,1316,78828400000,4333165,6024740543,59900000,002760,20240115
727,569,79159353401,199626,112899387,139120129,000890,20240115
726,2190,79304630400,309199,680624825,36212160,004270,20240115
725,2095,79313769095,56000,117741200,37858601,014790,20240115
724,2860,79371363500,22979165,70162391460,27752225,009180,20240115
723,995,79583435240,254195,251124048,79983352,085310,20240115
722,4105,79624442805,42038,172515085,19396941,058730,20240115
721,1481,80010847280,48561,71769691,54024880,013360,20240115
720,1185,80040701760,522392,621041394,67544896,069460,20240115
719,8540,80470191060,5369,45693180,9422739,006090,20240115
718,6200,80600000000,27509,170909690,13000000,003780,20240115
717,1965,81054583680,221081,441360073,41249152,024890,20240115
716,4055,81100000000,619574,2527924385,20000000,026940,20240115
715,1736,81166563688,293250,510678432,46754933,018500,20240115
714,3265,81427222625,572731,1884119950,24939425,002140,20240115
713,8150,81500000000,970,7951400,10000000,001560,20240115
712,754,81686188480,88211,66446036,108337120,001290,20240115
711,3650,81887677000,96703,347301965,22434980,009440,20240115
710,9130,82170000000,9624,87737080,9000000,005800,20240115
709,7110,82267691220,17647,126008600,11570702,004960,20240115
708,4350,82964418000,11823,51394970,19072280,013870,20240115
707,3340,83500000000,22550,75012065,25000000,010960,20240115
706,1165,83838682110,152319,177697124,71964534,006340,20240115
705,3865,85030000000,149362,573122035,22000000,010660,20240115
704,770,85572972100,86708466,67283907019,111133730,002360,20240115
703,5770,85669192190,6854,39738200,14847347,005740,20240115
702,8610,86100000000,37842,326788660,10000000,023810,20240115
701,6370,86743965490,7423,47351580,13617577,007590,20240115
700,1710,87099585300,341795,583595629,50935430,119650,20240115
699,2385,87536378340,353915,846101860,36702884,004770,20240115
698,6340,88126000000,17683,111695480,13900000,163560,20240115
697,2005,88786031550,30699,61403498,44282310,016090,20240115
696,3070,89644000000,7111,21767040,29200000,092440,20240115
695,5220,90311705460,95490,496511360,17301093,145210,20240115
694,2175,90500249250,64319,139842715,41609310,009200,20240115
693,773,91898329170,145055,112373523,118885290,008970,20240115
692,4075,92126348975,14543,59269715,22607693,244920,20240115
691,12910,92578023120,781079,10283963090,7171032,465770,20240115
690,458,92710631680,909529,418305778,202424960,004060,20240115
689,9340,93812977440,0,0,10044216,101140,20240115
688,7070,94484894000,7890,55623620,13364200,33626K,20240115
687,3200,94495398400,30238,96145235,29529812,003480,20240115
686,5550,94529548050,317216,1774818120,17032351,000220,20240115
685,10480,95376761280,10320,108327490,9100836,227840,20240115
684,1056,95600646240,65211,68974279,90530915,002450,20240115
683,792,95872761072,439521,347756168,121051466,031820,20240115
682,1245,96433479450,1594319,2016816918,77456610,007110,20240115
681,9940,96444897640,3238,32125540,9702706,078000,20240115
680,2350,96446103250,35331,83263255,41040895,067830,20240115
679,8160,96523481280,10564050,90250731230,11828858,006880,20240115
678,12370,96817701550,138951,1726957720,7826815,204210,20240115
677,10200,97959994200,18018,184168130,9603921,044820,20240115
676,6300,98353199700,1827733,11401030740,15611619,000910,20240115
675,6970,98388624550,1654113,11803393260,14116015,005870,20240115
674,1084,98560973188,1188404,1296251280,90923407,010600,20240115
673,6050,100232824450,6787,41124280,16567409,035000,20240115
672,9320,100857414520,36891,348099290,10821611,006370,20240115
671,2420,102400097800,262901,626633460,42314090,003610,20240115
670,2370,102710147550,301561,713543750,43337615,017040,20240115
669,8210,102820808500,12935,106083650,12523850,264900,20240115
668,1298,103745349840,226152,292646977,79927080,016880,20240115
667,2890,103839933970,96272,279552420,35930773,011150,20240115
666,173700,104220000000,32,5529100,600000,002600,20240115
665,2060,105086353580,574387,1175903100,51012793,007980,20240115
