,concept_id,label_ko,label_en,class0,class1,class2,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,class3,class4,comment
103,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),,20220101-20220930,31812631000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
104,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],기본주당이익(손실),20220101-20220930,4597.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
105,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),,20210701-20210930,73979187000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
106,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,,20210701-20210930,42898871000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
107,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,,20210701-20210930,31080316000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
108,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,,20210701-20210930,15262785000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
109,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,,20210701-20210930,15817531000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
110,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),,20210701-20210930,12293331000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
111,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],기본주당이익(손실),20210701-20210930,1776.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
112,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),,20210101-20210930,203039275000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
113,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,,20210101-20210930,121464787000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
114,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,,20210101-20210930,81574488000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
115,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,,20210101-20210930,43807344000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
116,dart_OperatingIncomeLoss,영업이익,Operating profit,손익계산서 [abstract],영업이익,,20210101-20210930,37767144000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
117,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss) for the period,손익계산서 [abstract],당기순이익(손실),,20210101-20210930,29069502000000.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
118,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,손익계산서 [abstract],주당이익 [abstract],기본주당이익(손실),20210101-20210930,4211.0,20221114001832,분기보고서 (2022.09),20221114,20221114,005930,00126380,삼성전자,,,
119,ifrs-full_Revenue,수익(매출액),Revenue(Sales),손익계산서 [abstract],수익(매출액),,20220401-20220630,77203607000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자,,,
120,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,,20220401-20220630,46269748000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자,,,
121,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,,20220401-20220630,30933859000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자,,,
122,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,,20220401-20220630,16836814000000.0,20220816001711,반기보고서 (2022.06),20220816,20220816,005930,00126380,삼성전자,,,
